,epoch,train_loss,train_acc,valid_loss,valid_acc,name_checkpoint,lr
0,274,0.0018,0.9994,1.499,0.7421,checkpoint_0274.pth,3.7071400001018254e-05
0,275,0.0033,0.999,1.5294,0.7437,checkpoint_0275.pth,3.430601637128303e-05
0,276,0.0045,0.9986,1.5371,0.7437,checkpoint_0276.pth,3.164416248091073e-05
0,277,0.0035,0.9986,1.5559,0.7437,checkpoint_0277.pth,2.9086430091585138e-05
0,278,0.0039,0.9988,1.5227,0.7421,checkpoint_0278.pth,2.6633387817546185e-05
0,279,0.0016,0.9994,1.5253,0.7461,checkpoint_0279.pth,2.428558099917921e-05
0,280,0.0013,0.9996,1.513,0.7461,checkpoint_0280.pth,2.204353158178018e-05
0,281,0.0015,0.9996,1.5539,0.7413,checkpoint_0281.pth,1.9907737999520803e-05
0,282,0.0034,0.9988,1.5435,0.7461,checkpoint_0282.pth,1.787867506464033e-05
0,283,0.003,0.9986,1.525,0.7453,checkpoint_0283.pth,1.595679386188997e-05
0,284,0.003,0.9988,1.5335,0.7468,checkpoint_0284.pth,1.4142521648250613e-05
0,285,0.0033,0.9992,1.5174,0.7484,checkpoint_0285.pth,1.243626175794881e-05
0,286,0.0029,0.999,1.5146,0.7461,checkpoint_0286.pth,1.0838393512791073e-05
0,287,0.0031,0.999,1.546,0.7453,checkpoint_0287.pth,9.34927213783562e-06
0,288,0.0029,0.9988,1.5459,0.7476,checkpoint_0288.pth,7.969228682422073e-06
0,289,0.0014,0.9994,1.5177,0.7468,checkpoint_0289.pth,6.698569946575132e-06
0,290,0.0026,0.9986,1.5308,0.7461,checkpoint_0290.pth,5.537578412799123e-06
0,291,0.0013,0.9998,1.5415,0.7437,checkpoint_0291.pth,4.486512183278932e-06
0,292,0.0015,0.9996,1.5295,0.7461,checkpoint_0292.pth,3.545604922501076e-06
0,293,0.0016,0.9996,1.559,0.7484,checkpoint_0293.pth,2.7150658053066878e-06
0,294,0.002,0.9992,1.5195,0.7437,checkpoint_0294.pth,1.995079470390063e-06
0,295,0.0026,0.9992,1.5325,0.7461,checkpoint_0295.pth,1.3858059792509957e-06
0,296,0.0024,0.9994,1.5056,0.7484,checkpoint_0296.pth,8.873807806113819e-07
0,297,0.0016,0.9996,1.5308,0.7468,checkpoint_0297.pth,4.999146803031528e-07
0,298,0.0017,0.9992,1.5239,0.7429,checkpoint_0298.pth,2.2349381663490818e-07
0,299,0.0027,0.9992,1.5299,0.7468,checkpoint_0299.pth,5.817964124242391e-08
